id,name,nickname,branch
132,藍短鰭笛鯛,青吾魚,笛鯛
133,濱鯛,紅雞仔,笛鯛
134,長尾濱鯛,長尾鳥,笛鯛
135,銀紋笛鯛,紅槽,笛鯛
136,孟加拉笛鯛,赤筆仔,笛鯛
137,白斑笛鯛,海豚哥,笛鯛
138,藍帶笛鯛,赤筆仔,笛鯛
139,交叉笛鯛,赤筆仔,笛鯛
140,赤鰭笛鯛,紅雞仔,笛鯛
141,火斑笛鯛,紅雞仔,笛鯛
142,黃足笛鯛,石機仔,笛鯛
143,隆背笛鯛,紅雞仔,笛鯛
144,約氏笛鯛,赤筆仔,笛鯛
145,四線笛鯛,四線赤筆,笛鯛
146,正笛鯛,赤筆仔,笛鯛
147,單斑笛鯛,點記,笛鯛
148,五線笛鯛,赤筆仔,笛鯛
149,海雞母笛鯛,海雞母,笛鯛
150,勒氏笛鯛,加規,笛鯛
151,川紋笛鯛,嗑頭,笛鯛
152,星點笛鯛,花臉,笛鯛
153,縱帶笛鯛,赤海,笛鯛
154,黑背羽鰓笛鯛,琉球黑毛,笛鯛
155,藍色擬烏尾鮗,青雞仔,笛鯛
156,黃擬烏尾鮗,黃雞仔,笛鯛
157,斜鱗笛鯛,赤筆仔,笛鯛
158,藍紋姬鯛,花笛鯛,笛鯛
159,絲鰭姬鯛,金蘭,笛鯛
160,黃鰭姬鯛,散午,笛鯛
161,希氏姬鯛,鎖吾,笛鯛
162,曳絲笛鯛,赤筆仔,笛鯛
163,烏尾鮗,烏尾冬仔,烏尾鮗
164,黃藍背烏尾鮗,烏尾冬仔,烏尾鮗
165,雙帶鱗鰭烏尾鮗,烏尾冬仔,烏尾鮗
166,馬氏鱗鰭烏尾鮗,烏尾冬仔,烏尾鮗
167,蒂爾鱗鰭烏尾鮗,烏尾冬仔,烏尾鮗
168,密點少棘胡椒鯛,雞仔魚,石鱸
169,臀斑髭鯛,銅盆魚,石鱸
170,岸上氏髭鯛,打鐵婆,石鱸
171,黑鰭髭鯛,銅盆魚,石鱸
172,三線磯鱸,三線雞魚,石鱸
173,白帶胡椒鯛,厚嘴仔,石鱸
174,斑胡椒鯛,小丑石鱸,石鱸
175,黃紋胡椒鯛,黃紋石鱸,石鱸
176,花尾胡椒鯛,加志,石鱸
177,黃點胡椒鯛,打鐵婆,石鱸
178,駝背胡椒鯛,打鐵婆,石鱸
179,雷氏胡椒鯛,花臉仔,石鱸
180,條紋胡椒鯛,花臉仔,石鱸
181,暗點胡椒鯛,加志,石鱸
182,條斑胡椒鯛,打鐵婆,石鱸
183,銀雞魚,雞仔魚,石鱸
184,星雞魚,雞仔魚,石鱸
185,斑雞魚,雞仔魚,石鱸
186,四帶雞魚,雞仔魚,石鱸
187,金帶齒頜鯛,黃點鯛,龍占魚
188,灰白鱲,龍尖,龍占魚
189,正龍占魚,白龍占,龍占魚
190,單斑龍占魚,龍尖,龍占魚
191,烏帽龍占魚,龍尖,龍占魚
192,青嘴龍占魚,龍尖,龍占魚
193,尖吻龍占魚,豬哥仔,龍占魚
194,黃帶龍占魚,龍尖,龍占魚
195,黃唇龍占魚,龍尖,龍占魚
196,單列齒鯛,大眼黑鯛,龍占魚
197,布氏長棘鯛,小長棘鯛,鯛
198,黄背牙鯛,赤鯮,鯛
199,紅鋤齒鯛,盤仔,鯛
200,真鯛,嘉鱲魚,鯛
201,平鯛,黃錫鯛,鯛
202,多鱗四指馬鮁,四絲馬鮁,馬鮁
203,小口多指馬鮁,午仔,馬鮁
204,五絲多指馬鮁,五絲馬鮁,馬鮁
205,六絲多指馬鮁,六絲馬鮁,馬鮁
206,日本銀身,巨鮸,石首魚(宜蘭)
207,日本銀身,巨鮸,石首魚(北部)
208,日本銀身,巨鮸,石首魚(南部)
209,日本銀身,巨鮸,石首魚(中部)
210,黑䱛,黑口,石首魚(宜蘭)
211,黑䱛,黑口,石首魚(北部)
212,黑䱛,黑口,石首魚(南部)
213,黑䱛,黑口,石首魚(中部)
214,黃金鰭,鮸仔魚,石首魚(宜蘭)
215,黃金鰭,鮸仔魚,石首魚(北部)
216,黃金鰭,鮸仔魚,石首魚(南部)
217,黃金鰭,鮸仔魚,石首魚(中部)
218,鈍頭叫姑魚,黑加網,石首魚(宜蘭)
219,鈍頭叫姑魚,黑加網,石首魚(北部)
220,鈍頭叫姑魚,黑加網,石首魚(南部)
221,鈍頭叫姑魚,黑加網,石首魚(中部)
222,皮氏叫姑魚,黑鮸,石首魚(宜蘭)
223,皮氏叫姑魚,黑鮸,石首魚(北部)
224,皮氏叫姑魚,黑鮸,石首魚(南部)
225,皮氏叫姑魚,黑鮸,石首魚(中部)
226,叫姑魚,加網,石首魚(宜蘭)
227,叫姑魚,加網,石首魚(北部)
228,叫姑魚,加網,石首魚(南部)
229,叫姑魚,加網,石首魚(中部)
230,大黃魚,黃魚,石首魚(宜蘭)
231,大黃魚,黃魚,石首魚(北部)
232,大黃魚,黃魚,石首魚(南部)
233,大黃魚,黃魚,石首魚(中部)
234,小黃魚,黃魚,石首魚(宜蘭)
235,小黃魚,黃魚,石首魚(北部)
236,小黃魚,黃魚,石首魚(南部)
237,小黃魚,黃魚,石首魚(中部)
238,鮸,鮸仔,石首魚(宜蘭)
239,鮸,鮸仔,石首魚(北部)
240,鮸,鮸仔,石首魚(南部)
241,鮸,鮸仔,石首魚(中部)
242,紅牙,三牙,石首魚(宜蘭)
243,紅牙,三牙,石首魚(北部)
244,紅牙,三牙,石首魚(南部)
245,紅牙,三牙,石首魚(中部)
246,白姑魚,白口,石首魚(宜蘭)
247,白姑魚,白口,石首魚(北部)
248,白姑魚,白口,石首魚(南部)
249,白姑魚,白口,石首魚(中部)
250,大頭白姑魚,帕頭,石首魚(宜蘭)
251,大頭白姑魚,帕頭,石首魚(北部)
252,大頭白姑魚,帕頭,石首魚(南部)
253,大頭白姑魚,帕頭,石首魚(中部)
254,眼斑擬石首魚,紅鼓魚,石首魚(宜蘭)
255,眼斑擬石首魚,紅鼓魚,石首魚(北部)
256,眼斑擬石首魚,紅鼓魚,石首魚(南部)
257,眼斑擬石首魚,紅鼓魚,石首魚(中部)
258,黑邊湯鯉,烏尾冬仔,湯鯉
259,鯔形湯鯉,國旗仔,湯鯉
260,條石鯛,海膽鯛,石鯛
261,斑石鯛,斑鯛,石鯛
262,孟加拉豆娘魚,厚殼仔,雀鯛
263,六線豆娘魚,厚殼仔,雀鯛
264,條紋豆娘魚,厚殼仔,雀鯛
265,長臀光鰓雀鯛,黃雀仔,雀鯛
266,雙帶狐鯛,三齒仔,隆頭魚
267,尖頭狐鯛,三齒仔,隆頭魚
268,黃斑狐鯛,三齒仔,隆頭魚
269,綠尾唇魚,綠色龍,隆頭魚
270,三葉唇魚,三葉龍,隆頭魚
271,曲紋唇魚,拿破崙,隆頭魚
272,藍豬齒魚,石老,隆頭魚
273,粗豬齒魚,石老,隆頭魚
274,條紋半裸魚,斑節龍,隆頭魚
275,巴氏項鰭魚,紅姑娘仔,隆頭魚
276,洛神項鰭魚,扁礫仔,隆頭魚
277,巴父項鰭魚,扁礫仔,隆頭魚
278,彩虹項鰭魚,扁礫仔,隆頭魚
279,薔薇項鰭魚,薔薇連鰭唇魚,隆頭魚
280,雙線尖唇魚,雙線龍,隆頭魚
281,紅頸擬隆頭魚,紅礫仔,隆頭魚
282,雙色鯨鸚哥魚,青衣,鸚哥魚
283,福氏鸚哥魚,紅鸚哥,鸚哥魚
284,紅紫鸚哥魚,紅鸚哥,鸚哥魚
285,星斑臭肚魚,點籃子魚,臭肚魚
286,肩斑刺尾鯛,粗皮仔,刺尾鯛
287,布氏刺尾鯛,環尾倒吊,刺尾鯛
288,杜氏刺尾鯛,眼紋倒吊,刺尾鯛
289,一字刺尾鯛,紅印倒吊,刺尾鯛
290,火紅刺尾鯛,巧克力倒吊,刺尾鯛
291,環紋鼻魚,剝皮仔,刺尾鯛
292,六棘鼻魚,剝皮仔,刺尾鯛
293,單角鼻魚,剝皮仔,刺尾鯛
294,巴拉金梭魚,針梭,金梭魚
295,黃尾金梭魚,針梭,金梭魚
296,日本金梭魚,大眼梭子魚,金梭魚
297,日本帶魚,白帶,帶魚
298,棘鰆,石喬,鯖(棘鰆)
299,圓花鰹,煙管仔,鯖(鮪魚)
300,扁花鰹,煙仔魚,鯖(鮪魚)
301,正鰹,煙仔虎,鯖(鮪魚)
302,金帶花鯖,鐵甲,鯖(鮪魚)
303,東方齒鰆,煙仔虎,鯖(棘鰆)
304,花腹鯖,花飛,鯖(棘鰆)
305,白腹鯖,花飛,鯖(棘鰆)
306,康氏馬加鰆,土魠,鯖(棘鰆)
307,臺灣馬加鰆,白北,鯖(棘鰆)
308,日本馬加鰆,正馬加,鯖(棘鰆)
309,長鰭鮪,Pon-bo,鯖(鮪魚)
310,黃鰭鮪,串仔,鯖(鮪魚)
311,大目鮪,大目仔,鯖(鮪魚)
312,太平洋黑鮪,黑鮪,鯖(鮪魚)
313,長腰鮪,黑鰭串,鯖(鮪魚)
